//X,Y,Z,M3C2 distance,R,G,B,Nx,Ny,Nz
47539.004,35869.234,2054.599,0.159,88,76,83,-0.091454,-0.040769,0.994974
47536.977,35868.512,2054.340,0.219,79,64,59,-0.052391,-0.045976,0.997568
47548.516,35863.789,2054.066,0.122,82,70,67,-0.013507,-0.052990,0.998504
47548.328,35862.383,2053.972,0.125,87,72,68,-0.013831,-0.077665,0.996884
47561.215,35853.309,2053.058,0.206,71,54,53,0.075886,-0.174658,0.981700
47556.844,35856.188,2053.703,0.320,86,69,65,-0.050694,-0.111526,0.992468
47540.055,35868.641,2054.428,0.141,80,64,65,0.107596,-0.117055,0.987280
47552.598,35859.680,2053.641,0.194,74,62,60,-0.019746,-0.046766,0.998711
47565.434,35850.773,2053.091,0.135,63,51,51,-0.111763,-0.053059,0.992317
47561.848,35853.043,2052.977,0.206,71,53,51,-0.021429,-0.145493,0.989127
47539.527,35869.797,2054.629,0.112,80,64,64,-0.006992,-0.014983,0.999863
47532.891,35876.609,2054.762,-0.071,71,56,52,-0.028008,-0.036307,0.998948
47546.922,35865.832,2054.104,0.017,105,90,93,-0.005123,-0.044059,0.999016
47535.648,35872.691,2054.562,0.101,67,56,54,-0.026987,-0.080960,0.996352
47525.340,35881.297,2054.797,-0.332,72,55,51,-0.067762,-0.035494,0.997070
47552.969,35860.777,2053.717,0.159,81,68,66,-0.013939,-0.086853,0.996124
47541.359,35869.527,2054.430,0.058,77,62,61,0.134485,-0.073674,0.988173
47553.289,35861.848,2053.831,0.107,87,72,68,-0.032379,-0.117233,0.992576
47555.172,35859.594,2053.823,0.246,75,63,60,-0.089272,-0.073452,0.993295
47511.629,35893.609,2054.826,-0.331,100,81,83,0.030449,-0.045148,0.998516
47548.414,35866.082,2054.150,-0.066,83,68,68,-0.017914,-0.062171,0.997905
47542.711,35869.930,2054.365,-0.032,91,86,85,0.011340,-0.044329,0.998953
47542.129,35870.340,2054.416,-0.009,65,58,60,0.080899,-0.092294,0.992440
47553.609,35862.703,2053.957,0.107,89,75,72,-0.036641,-0.105481,0.993746
47512.953,35893.523,2054.766,-0.316,79,63,63,0.028348,-0.047247,0.998481
47565.578,35853.953,2053.267,0.230,75,64,60,-0.114733,-0.057935,0.991706
47536.043,35876.055,2054.831,-0.110,62,49,45,-0.021825,-0.044690,0.998762
47537.984,35874.582,2054.720,-0.092,61,48,48,-0.013723,-0.068614,0.997549
47543.621,35872.793,2054.659,-0.300,74,62,59,0.063390,-0.178210,0.981948
47563.797,35856.617,2053.627,0.286,72,58,56,0.073354,-0.227521,0.971006
47561.910,35857.395,2053.950,0.307,65,53,52,0.075587,-0.219326,0.972719
47542.824,35873.109,2054.760,-0.269,75,62,58,-0.023061,-0.108715,0.993805
47547.641,35869.961,2054.545,-0.377,72,58,57,-0.063092,-0.076374,0.995081
47541.609,35874.070,2054.807,-0.249,71,58,55,-0.039399,-0.054306,0.997747
47551.762,35868.129,2054.383,-0.392,76,65,65,0.018847,-0.123058,0.992221
47564.621,35857.426,2053.756,0.266,68,54,54,0.021106,-0.296724,0.954730
47543.965,35874.324,2054.905,-0.429,79,64,60,-0.020578,-0.094227,0.995338
47563.238,35858.445,2054.062,0.312,71,57,55,0.074983,-0.210198,0.974779
47552.336,35868.910,2054.522,-0.502,52,41,43,0.026602,-0.174647,0.984272
47551.043,35870.371,2054.701,-0.639,70,57,56,-0.036273,-0.095628,0.994756
47571.109,35856.137,2053.829,0.260,62,48,46,-0.018234,-0.082588,0.996417
47554.441,35869.348,2054.529,-0.623,64,51,52,-0.027409,-0.101963,0.994411
47564.340,35861.113,2054.415,0.216,66,50,50,0.037944,-0.076973,0.996311
47576.164,35853.168,2054.082,0.501,67,54,56,-0.057474,0.104805,0.992831
47570.816,35858.918,2054.162,0.123,89,69,70,0.016908,-0.149918,0.988554
47577.246,35854.578,2053.949,0.444,67,55,56,0.023528,0.023528,0.999446
47569.875,35859.973,2054.223,0.046,72,56,57,-0.135639,-0.083742,0.987213
47573.164,35861.176,2054.439,-0.141,69,57,57,0.216848,-0.408619,0.886571
47577.723,35858.777,2054.242,-0.157,87,71,66,-0.050875,-0.059534,0.996929
47574.570,35861.656,2054.484,-0.176,73,57,53,0.026427,-0.310827,0.950099
47578.023,35858.012,2054.194,0.000,85,71,68,-0.016115,-0.089168,0.995886
47574.668,35862.441,2054.666,-0.206,59,47,48,0.176272,-0.194552,0.964924
47575.184,35863.449,2054.737,-0.290,49,39,41,0.112382,-0.210874,0.971032
47581.504,35858.832,2054.178,-0.308,60,49,50,-0.007986,-0.174561,0.984614
47575.809,35863.570,2054.678,-0.320,43,34,37,0.199222,-0.394081,0.897224
47579.297,35863.457,2054.748,-0.567,52,42,46,0.023246,-0.116232,0.992950
47580.426,35861.781,2054.526,-0.499,54,45,48,0.024918,-0.089922,0.995637
47606.863,35860.375,2054.516,-0.703,41,34,36,-0.009535,-0.077341,0.996959
47607.688,35861.254,2054.566,-0.708,43,33,35,0.023952,-0.044781,0.998710
47606.332,35864.297,2054.930,-0.791,83,64,67,-0.041350,-0.185486,0.981777
47608.648,35861.961,2054.502,-0.691,41,33,38,0.086853,-0.110014,0.990128
47607.949,35863.707,2054.802,-0.650,40,35,38,0.086401,-0.181321,0.979621
47608.941,35867.016,2055.309,-0.463,35,28,32,0.052921,-0.168172,0.984336
47610.004,35865.199,2054.801,-0.408,29,23,28,0.141910,-0.195606,0.970361
47612.051,35865.281,2054.531,-0.400,44,37,42,0.102203,-0.314572,0.943716
47609.570,35868.488,2055.735,-0.435,61,52,56,-0.168707,-0.114523,0.978991
47612.531,35865.863,2054.843,-0.382,40,30,31,0.116961,-0.321308,0.939724
47610.188,35867.863,2055.753,-0.395,58,49,52,0.010950,-0.271328,0.962425
47611.563,35867.469,2055.673,-0.359,41,32,34,0.021259,-0.306385,0.951670
47607.715,35871.125,2055.888,-0.508,42,33,36,-0.030199,-0.121913,0.992081
47613.117,35867.078,2055.469,-0.313,32,26,29,0.074506,-0.501859,0.861735
47610.273,35868.523,2055.857,-0.396,68,57,60,-0.097433,-0.085970,0.991522
47612.035,35869.680,2055.943,-0.278,38,31,35,0.076532,-0.065440,0.994917
47613.844,35867.906,2055.544,-0.256,29,23,27,0.156533,-0.010135,0.987621
47616.070,35869.406,2054.909,-0.117,19,15,18,0.164526,-0.319374,0.933237
47615.695,35871.090,2055.329,-0.082,37,31,35,0.170258,-0.196251,0.965659
47614.031,35871.910,2055.746,-0.135,29,24,30,0.201447,-0.122895,0.971759
47613.008,35873.383,2056.124,-0.203,45,36,38,0.171283,-0.131275,0.976437
47617.480,35870.477,2054.885,-0.129,29,31,43,0.268360,-0.300273,0.915325
47617.410,35870.855,2055.028,-0.122,24,23,31,0.212875,-0.226434,0.950480
47613.195,35874.910,2056.261,-0.170,50,39,41,0.026457,-0.058205,0.997954
47618.691,35872.148,2055.215,-0.097,23,21,26,0.048928,-0.124026,0.991072
47614.875,35877.004,2056.377,-0.063,47,38,41,0.001110,-0.145462,0.989363
47619.090,35873.344,2055.064,-0.044,34,33,43,0.459533,-0.115239,0.880653
47618.195,35875.676,2055.869,0.058,33,30,39,0.245198,-0.209583,0.946548
47619.207,35874.164,2055.100,-0.018,30,31,42,0.481185,-0.202367,0.852941
47619.863,35874.141,2054.645,-0.130,24,21,26,0.558612,-0.163240,0.813207
47618.984,35875.434,2055.576,0.132,27,28,42,0.258825,-0.356439,0.897753
47617.090,35876.750,2056.299,-0.029,41,33,36,0.064815,-0.214013,0.974678
47618.559,35875.645,2055.711,0.108,36,34,47,0.257572,-0.274648,0.926404
47616.094,35877.797,2056.535,-0.051,47,38,41,-0.030434,-0.131881,0.990798
47617.223,35877.898,2056.588,-0.030,49,39,41,0.013721,-0.070715,0.997402
47619.742,35875.824,2055.384,0.151,21,18,25,0.355339,-0.402300,0.843735
47618.984,35876.859,2055.964,0.126,40,40,60,0.255508,-0.238753,0.936863
47620.156,35874.965,2054.766,-0.186,21,18,21,0.352163,-0.434282,0.829084
47619.926,35876.719,2055.602,0.136,48,51,74,0.282419,-0.282419,0.916776
47618.828,35878.371,2056.459,0.039,35,29,35,0.177444,-0.180034,0.967523
47619.719,35881.000,2056.584,0.082,43,36,40,0.113689,-0.070051,0.991044
47621.512,35879.043,2056.007,0.179,35,29,35,0.194952,-0.179251,0.964294
47447.953,36017.762,2048.737,-0.033,63,59,72,-0.471932,0.602931,0.643238
47445.707,36019.215,2045.013,0.016,59,55,66,-0.453017,0.749537,0.482669
47448.816,36018.879,2048.395,0.385,52,48,60,-0.555627,0.602914,0.572515
47447.848,36020.254,2045.423,0.522,45,40,50,-0.502464,0.746283,0.436567
47448.414,36019.078,2047.662,0.435,49,45,57,-0.576423,0.647006,0.499119
47450.867,36019.113,2049.613,0.520,45,41,51,-0.455583,0.300094,0.838086
47448.711,36021.105,2044.987,0.598,31,26,35,-0.525602,0.763181,0.375895
47453.238,36018.742,2050.364,0.836,77,63,67,-0.200896,0.182513,0.962460
47452.324,36019.305,2050.062,0.736,55,46,55,-0.208209,0.210896,0.955077
47452.418,36020.629,2049.825,0.932,53,46,55,-0.091707,0.179745,0.979429
47455.086,36019.535,2050.640,1.252,43,40,53,-0.115596,0.149666,0.981956
47451.703,36021.246,2049.233,0.866,43,36,44,-0.632019,0.369362,0.681267
47452.371,36021.043,2049.706,0.932,52,44,57,-0.140128,0.359339,0.922627
47449.809,36021.465,2045.667,0.766,26,21,28,-0.425106,0.816777,0.390078
47450.980,36021.496,2047.922,0.781,30,23,27,-0.678459,0.561194,0.474083
47447.223,36022.461,2040.561,0.969,30,25,32,-0.434812,0.803840,0.405931
47454.285,36020.313,2050.065,1.314,29,25,34,-0.284530,0.319912,0.903714
47450.285,36022.254,2044.612,1.057,24,19,25,-0.373258,0.805789,0.459764
47450.516,36021.684,2046.912,0.799,24,18,24,-0.640856,0.767650,-0.004135
47451.516,36021.949,2048.646,0.912,25,18,22,-0.752220,0.475693,0.455941
47450.691,36022.926,2043.872,1.188,21,16,22,-0.530256,0.661557,0.530256
47446.918,36024.898,2034.668,1.195,21,16,21,-0.439871,0.827714,0.348428
47451.797,36022.461,2045.240,1.199,19,13,18,-0.442887,0.843816,0.303028
47451.836,36022.590,2046.271,1.068,20,15,23,-0.509287,0.851714,-0.123332
47453.105,36021.453,2049.568,1.211,33,25,32,-0.059900,0.502880,0.862278
47451.805,36022.543,2047.682,1.003,21,13,17,-0.523809,0.848543,0.074830
47451.914,36022.621,2046.725,1.068,21,15,21,-0.436949,0.899132,-0.025234
47452.117,36022.656,2045.865,1.156,20,14,20,-0.480755,0.873208,-0.079892
47452.367,36022.844,2046.352,1.173,20,13,19,-0.561810,0.825025,-0.060851
47452.090,36022.723,2045.093,1.321,18,11,16,-0.553221,0.664201,0.502775
47452.508,36023.000,2045.299,1.321,18,11,14,-0.626162,0.728133,0.278825
47452.672,36023.145,2047.434,1.196,30,23,28,-0.524953,0.847566,0.077823
47457.559,36019.578,2051.262,1.148,43,37,47,-0.255048,0.304040,0.917884
47448.434,36024.328,2038.199,1.531,21,16,21,-0.211257,0.925844,0.313341
47448.934,36025.082,2036.529,1.609,19,13,18,-0.521646,0.781667,0.341879
47448.809,36025.758,2034.843,1.465,19,14,18,-0.436657,0.830752,0.345227
47447.348,36025.703,2033.390,1.104,19,13,18,-0.474598,0.782358,0.403327
47453.820,36022.367,2049.083,1.326,46,39,48,-0.220861,0.573004,0.789232
47453.051,36022.348,2048.965,1.223,25,18,23,-0.069917,0.583589,0.809034
47452.711,36023.055,2047.831,1.110,29,22,26,-0.255616,0.907070,0.334491
47455.461,36021.609,2049.796,1.513,23,18,26,-0.206520,0.486904,0.848690
47452.313,36024.227,2043.769,1.636,19,15,24,-0.464170,0.798244,0.383864
47452.898,36023.270,2046.522,1.173,18,12,15,-0.591473,0.805795,-0.029226
47452.980,36023.344,2046.910,1.196,22,16,20,-0.427503,0.900369,0.081102
47453.441,36023.082,2048.271,1.419,34,26,32,-0.108929,0.881334,0.459765
47453.809,36022.727,2048.751,1.408,36,30,37,-0.129153,0.779372,0.613106
47450.941,36025.113,2039.511,1.760,17,11,16,-0.553724,0.793931,0.251125
47455.055,36021.516,2049.764,1.484,24,18,26,-0.083709,0.418544,0.904330
47455.711,36021.406,2049.988,1.521,23,19,27,-0.188564,0.532505,0.825156
